,file_id,file_name,patient,sample,sample_type,project_id
TCGA-A2-A0CQ-01A,5b6828f2-4da6-49a4-a19c-569e089ff0b0,315f3deb-74b5-4b71-afe5-759c85a0a6cc.rna_seq.augmented_star_gene_counts.tsv,TCGA-A2-A0CQ,TCGA-A2-A0CQ-01A,PrimaryTumor,TCGA-BRCA
TCGA-A2-A259-01A,69f5df3f-273f-4e02-934b-af9c9ec52067,92e1baff-0f43-4841-aab9-fdda0078673a.rna_seq.augmented_star_gene_counts.tsv,TCGA-A2-A259,TCGA-A2-A259-01A,PrimaryTumor,TCGA-BRCA
TCGA-A7-A0CD-01A,79bfddcc-1d7b-43a7-9221-8f230eca31d8,0a9e33db-2527-4cc3-8669-a7c10fed7a7f.rna_seq.augmented_star_gene_counts.tsv,TCGA-A7-A0CD,TCGA-A7-A0CD-01A,PrimaryTumor,TCGA-BRCA
TCGA-AN-A0FF-01A,c00ad8a9-ed1d-4289-aa62-3e64cb574205,b47b2efb-02e1-4729-95ad-de05fb551bc7.rna_seq.augmented_star_gene_counts.tsv,TCGA-AN-A0FF,TCGA-AN-A0FF-01A,PrimaryTumor,TCGA-BRCA
TCGA-AR-A2LE-01A,89e67cfd-7728-4a0e-bfa5-4c55ae957ef8,49e0a55e-cd18-438c-890a-f14c6d149743.rna_seq.augmented_star_gene_counts.tsv,TCGA-AR-A2LE,TCGA-AR-A2LE-01A,PrimaryTumor,TCGA-BRCA
TCGA-B6-A0IP-01A,263123b0-ec68-47cd-96dd-4f0795503d89,fb49b14e-d40f-4270-98b3-458ce60f2cde.rna_seq.augmented_star_gene_counts.tsv,TCGA-B6-A0IP,TCGA-B6-A0IP-01A,PrimaryTumor,TCGA-BRCA
TCGA-BH-A0B0-01A,88a16056-cc45-4fee-99e0-f7fc7e1971df,fdadb011-0da3-458f-8b4e-d09e4c847a5b.rna_seq.augmented_star_gene_counts.tsv,TCGA-BH-A0B0,TCGA-BH-A0B0-01A,PrimaryTumor,TCGA-BRCA
TCGA-E2-A1IO-01A,425a82ae-e0bf-48ae-946f-58ccc2571bfd,c5bb9834-a08f-4729-9aec-22f9a2816184.rna_seq.augmented_star_gene_counts.tsv,TCGA-E2-A1IO,TCGA-E2-A1IO-01A,PrimaryTumor,TCGA-BRCA
TCGA-E9-A1R4-01A,488399aa-ef3c-42d7-817f-9db11b9902dd,a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts.tsv,TCGA-E9-A1R4,TCGA-E9-A1R4-01A,PrimaryTumor,TCGA-BRCA
TCGA-LD-A9QF-01A,406cb497-badd-4bbe-be62-e1dac7b49180,49563aad-aeb3-4a9b-8849-a60c119cbaa4.rna_seq.augmented_star_gene_counts.tsv,TCGA-LD-A9QF,TCGA-LD-A9QF-01A,PrimaryTumor,TCGA-BRCA
