,file_id,file_name,patient,sample,sample_type,project_id
TCGA-3X-AAV9-01A,43ac405a-93dc-4241-86be-3f034ba1eafb,913eff0d-52b9-4e73-9351-970393b2f523.rna_seq.augmented_star_gene_counts.tsv,TCGA-3X-AAV9,TCGA-3X-AAV9-01A,PrimaryTumor,TCGA-CHOL
TCGA-4G-AAZT-01A,03953c9c-8b2b-4e61-bf59-ae75e67fe845,be87079d-9aba-406d-881b-c09077e837db.rna_seq.augmented_star_gene_counts.tsv,TCGA-4G-AAZT,TCGA-4G-AAZT-01A,PrimaryTumor,TCGA-CHOL
TCGA-W5-AA2G-01A,b580e39d-4db6-40bd-bda9-1b0aa633e7c6,bdde6cf8-eb8c-4496-8cc1-85690aeb691a.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2G,TCGA-W5-AA2G-01A,PrimaryTumor,TCGA-CHOL
TCGA-W5-AA2O-01A,fdb7a779-e4d2-4541-b278-0752c642d168,4e457cc5-6522-4c2f-94cb-d33ae8aa3d2e.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2O,TCGA-W5-AA2O-01A,PrimaryTumor,TCGA-CHOL
TCGA-W5-AA30-01A,0c9aba87-406f-4789-9275-e1d25bb3aea7,72fffe3e-d4fb-4862-ba01-e91289ed94ef.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA30,TCGA-W5-AA30-01A,PrimaryTumor,TCGA-CHOL
TCGA-W5-AA33-01A,0e0dcae8-4cc2-4ba5-bc0d-07c9dbd0e5a2,d94cd170-9dff-4b44-a7a8-6d1c277b0f8b.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA33,TCGA-W5-AA33-01A,PrimaryTumor,TCGA-CHOL
TCGA-W6-AA0S-01A,d0f1e52b-05dd-4260-88ea-baee77058446,b40381eb-a628-47b6-8dee-db804ff8ccbe.rna_seq.augmented_star_gene_counts.tsv,TCGA-W6-AA0S,TCGA-W6-AA0S-01A,PrimaryTumor,TCGA-CHOL
TCGA-ZH-A8Y2-01A,45568022-73ee-46d6-be87-ee925e56946a,ddeb9d85-4c73-4605-9125-07d68f329ce3.rna_seq.augmented_star_gene_counts.tsv,TCGA-ZH-A8Y2,TCGA-ZH-A8Y2-01A,PrimaryTumor,TCGA-CHOL
TCGA-ZH-A8Y6-01A,35b084d8-67ff-48a8-b08f-aa01cdf742ec,1393e42f-316e-4c19-bf89-cad57614234b.rna_seq.augmented_star_gene_counts.tsv,TCGA-ZH-A8Y6,TCGA-ZH-A8Y6-01A,PrimaryTumor,TCGA-CHOL
TCGA-ZU-A8S4-01A,a4538966-92d7-4849-aa02-ff85dcc1615f,669cf209-2438-4a7e-b35c-f670dcd36461.rna_seq.augmented_star_gene_counts.tsv,TCGA-ZU-A8S4,TCGA-ZU-A8S4-01A,PrimaryTumor,TCGA-CHOL
TCGA-W5-AA2I-11A,e4b528f8-b02d-4a5a-8868-471257c43231,043fd1aa-cb19-42ad-b3e5-793e8875a1d6.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2I,TCGA-W5-AA2I-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA2Q-11A,5bf5af0a-48e0-458a-ad88-4be2a8695da5,2f736328-bdce-40df-a2aa-54502196ace0.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2Q,TCGA-W5-AA2Q-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA2R-11A,ec65eea2-ec13-475f-8593-8d8f6b04432c,b88682b7-92b9-41fc-b645-bfd576e6e23f.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2R,TCGA-W5-AA2R-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA2U-11A,96d140e5-1859-4690-ac54-cedb8d713b4f,682a7451-6f16-434d-ba4d-cf425efadf66.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2U,TCGA-W5-AA2U-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA2X-11A,7a48e51b-adea-4f9b-853b-acef7b644859,de0ac50b-034d-4d50-9438-29e74282205b.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA2X,TCGA-W5-AA2X-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA30-11A,d98d88b2-195a-4897-aa77-c2bbdc0e1707,63fee05f-ac6b-452e-8a1f-129ca537c459.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA30,TCGA-W5-AA30-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA31-11A,710df862-d28b-4596-926d-dbab3e89edab,059e7de0-52e6-409b-a511-c3f641da63e3.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA31,TCGA-W5-AA31-11A,SolidTissueNormal,TCGA-CHOL
TCGA-W5-AA34-11A,dabbf5b7-016a-4439-90bf-332c02d0de18,96344c38-4aa1-4e70-ad78-82aeb8313625.rna_seq.augmented_star_gene_counts.tsv,TCGA-W5-AA34,TCGA-W5-AA34-11A,SolidTissueNormal,TCGA-CHOL
TCGA-ZU-A8S4-11A,da51a5ed-fee0-46be-a196-0cc349335890,c4443c76-7525-4e2b-b779-c4c829ac52d1.rna_seq.augmented_star_gene_counts.tsv,TCGA-ZU-A8S4,TCGA-ZU-A8S4-11A,SolidTissueNormal,TCGA-CHOL
