,file_id,file_name,patient,sample,sample_type,project_id
TCGA-2H-A9GJ-01A,178229c4-50d1-4097-b09a-1a6425502712,1a383b03-cd12-419c-9deb-eca975a88fe3.rna_seq.augmented_star_gene_counts.tsv,TCGA-2H-A9GJ,TCGA-2H-A9GJ-01A,PrimaryTumor,TCGA-ESCA
TCGA-IG-A5B8-01A,fc5aa337-e4e8-49f4-b480-cf00c674a8d0,98165f73-0bbe-4b8d-89d5-0a6725515458.rna_seq.augmented_star_gene_counts.tsv,TCGA-IG-A5B8,TCGA-IG-A5B8-01A,PrimaryTumor,TCGA-ESCA
TCGA-JY-A6FB-01A,1ab7c102-7ccc-4afb-b0e7-ae0f95350f38,8bbfc2d2-fb90-4a61-8a15-9987710bd7b4.rna_seq.augmented_star_gene_counts.tsv,TCGA-JY-A6FB,TCGA-JY-A6FB-01A,PrimaryTumor,TCGA-ESCA
TCGA-KH-A6WC-01A,0c9322c1-82bf-40b8-9234-e4dbe04895d1,e4eaa3f8-d194-47a0-a7db-4bd04669bacd.rna_seq.augmented_star_gene_counts.tsv,TCGA-KH-A6WC,TCGA-KH-A6WC-01A,PrimaryTumor,TCGA-ESCA
TCGA-L5-A4OG-01A,cf090b6d-e560-4fc6-ae94-8c8d48167215,0166b2df-b4a1-4498-a85c-7092a0ccb25d.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OG,TCGA-L5-A4OG-01A,PrimaryTumor,TCGA-ESCA
TCGA-L5-A4OH-01A,6cd3101e-9b9e-47e5-9f66-328a60dd64b4,827a23f5-9ff0-4268-b210-d3bb86ab67e8.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OH,TCGA-L5-A4OH-01A,PrimaryTumor,TCGA-ESCA
TCGA-L5-A4OM-01A,66197d08-162e-4eb8-8c71-947ab52db06c,cf39d772-dc32-4888-a126-0bed46ddd327.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OM,TCGA-L5-A4OM-01A,PrimaryTumor,TCGA-ESCA
TCGA-L5-A88S-01A,aa1787bb-5f73-43c2-b398-ddb74b691816,3bda7663-7e41-46cd-b99d-c3338baa3403.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A88S,TCGA-L5-A88S-01A,PrimaryTumor,TCGA-ESCA
TCGA-L5-A893-01A,6c082ebb-aa74-48d9-a5f4-fd6bbcc8279a,9d100cbc-7753-4313-adf7-1f602c93af65.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A893,TCGA-L5-A893-01A,PrimaryTumor,TCGA-ESCA
TCGA-V5-A7RE-01A,b4309643-4561-4971-a66d-4a15095517b6,4225ab63-bd56-4dab-a227-7329fc38c6c1.rna_seq.augmented_star_gene_counts.tsv,TCGA-V5-A7RE,TCGA-V5-A7RE-01A,PrimaryTumor,TCGA-ESCA
TCGA-IC-A6RE-11A,996c69b3-c15a-41bb-8105-f2b4a5b40325,e84e23ef-7bf2-4770-8193-a058dcd4c61a.rna_seq.augmented_star_gene_counts.tsv,TCGA-IC-A6RE,TCGA-IC-A6RE-11A,SolidTissueNormal,TCGA-ESCA
TCGA-IC-A6RF-11A,bd6422fd-41e5-474e-a158-1ef3396ecb37,b855702a-7656-4311-a41d-4cf4ab06ab8c.rna_seq.augmented_star_gene_counts.tsv,TCGA-IC-A6RF,TCGA-IC-A6RF-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A43C-11A,75429fcb-b906-4008-a36d-877bf235dd35,8ec0b023-cc75-4254-80ba-9550ccce5fd1.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A43C,TCGA-L5-A43C-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OF-11A,f8d61305-90eb-4614-9bc5-22e2e5ca3eec,35626e68-92dc-4e46-b34f-fab0c56a29f7.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OF,TCGA-L5-A4OF-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OG-11A,d5814f42-5304-4cc6-946c-a92ce5412349,ba94f26c-27a0-4f47-80ba-3f00ee16ec38.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OG,TCGA-L5-A4OG-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OJ-11A,8f154d70-eadb-4a4a-971b-cf6c3fc71a3d,caf40242-69a1-4e80-9f56-978262af3deb.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OJ,TCGA-L5-A4OJ-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OO-11A,9189dde6-15da-45e1-adef-addd408c82c2,63d3b1fb-1629-4e47-b524-91e2a37e9025.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OO,TCGA-L5-A4OO-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OQ-11A,69b8f969-374c-4347-bd5b-8ad17c8a2f9c,9cb3adfa-53df-4c58-8b5d-a88ecc36606b.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OQ,TCGA-L5-A4OQ-11A,SolidTissueNormal,TCGA-ESCA
TCGA-L5-A4OR-11A,e8db8426-fcc3-490a-a554-a65e635238ff,6d6780b3-b12a-4cec-9305-282505215585.rna_seq.augmented_star_gene_counts.tsv,TCGA-L5-A4OR,TCGA-L5-A4OR-11A,SolidTissueNormal,TCGA-ESCA
TCGA-V5-A7RE-11A,bcb4f21a-7886-4d88-ab22-1f4640370036,7a90094c-4599-422c-9a09-e41f557cc175.rna_seq.augmented_star_gene_counts.tsv,TCGA-V5-A7RE,TCGA-V5-A7RE-11A,SolidTissueNormal,TCGA-ESCA
TCGA-V5-AASX-11A,eee3e3da-e9fb-478d-bddd-462dd9178e2c,62b6ff78-01ae-4d65-b62d-b218a8c4bbcd.rna_seq.augmented_star_gene_counts.tsv,TCGA-V5-AASX,TCGA-V5-AASX-11A,SolidTissueNormal,TCGA-ESCA
